Accession ID	Name	CS Number	Country	Lat
9809	Tu-KB-6	CS77393	GER	48.52
9810	Tu-KS-7	CS77394	GER	48.53
9811	Tu-NK-12	CS77395	GER	48.52
9813	BI-4	CS76706	GER	48.4
9814	Fell1-10	CS76855	GER	48.42
9815	Ha-HBT3-11	CS76900	GER	48.54
9816	Tu-WH	CS77398	GER	48.55
9907	ENC-2-1		FRA	50.86
9908	ESP-1-11	CS76847	FRA	50.72
9909	GEN-8	CS76877	FRA	50.59
9910	BRI-2	CS76725	FRA	50.68
9911	ARGE-1-15	CS76672	FRA	47.16
9913	CON-7		FRA	47.24
9914	IST-29	CS76948	FRA	47.58
9915	MAR-4-16	CS77069	FRA	47.45
9916	MOL-1		FRA	47.1
9917	RAD-21	CS77200	FRA	46.69
9918	SAUL-24	CS77237	FRA	47.43
9919	BRE-14		FRA	48.85
9920	DIR-9	CS76796	FRA	48.54
9922	MIL-2		FRA	48.52
9923	PLO-1		FRA	48.58
9924	PLY-20	CS77181	FRA	48.59
9925	RUM-20	CS77226	FRA	48.91
9926	TRE-1	CS77385	FRA	48.86
9927	ARR-17	CS76673	FRA	44.05
9928	BEZ-9	CS76703	FRA	44.12
9929	ISS-20	CS76947	FRA	43.92
9930	LEC-25	CS77018	FRA	43.91
9931	MOU2-25		FRA	43.98
9932	NOZ-6	CS77134	FRA	44.12
9933	VED-10	CS78839	FRA	43.74
9934	QUI-8		FRA	44.07
9937	CATS-6	CS76760	FRA	50.79
9938	WAV-8	CS78854	FRA	50.65
10015	Ara-1	CS76382	AFG	37.29
10023	Strand-1	CS77284	NOR	68.8
10024	Tnz-1		TZA	
10028	Sakata		Japan	38.94
